日期,小时,区域,停车场ID,停车场名称,总车位数,入场车次,出场车次,累计在场(近似)
2026-06-15,18,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,18,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,19,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,19,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,19,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,20,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,20,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,20,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,21,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,21,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,21,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,22,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,22,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,22,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-15,23,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-15,23,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-15,23,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-16,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,8,城关区,1,市民中心地下停车场,6,1,0,1
2026-06-16,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,9,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,9,江南区,2,滨江路立体停车楼,4,1,1,0
2026-06-16,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,10,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,11,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,12,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,13,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,14,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,15,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,16,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,16,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,17,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,17,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,17,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,18,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,18,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,18,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,19,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,19,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,19,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,20,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,20,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,20,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,21,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,21,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,21,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,22,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,22,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,22,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-16,23,城关区,1,市民中心地下停车场,6,0,0,1
2026-06-16,23,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-16,23,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,0,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,0,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,0,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,1,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,1,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,1,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,2,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,2,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,2,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,3,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,3,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,3,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,4,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,4,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,4,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,5,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,5,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,5,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,6,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,6,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,6,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,7,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,7,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,7,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,8,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,8,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,8,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,9,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,9,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,9,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,10,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,10,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,10,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,11,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,11,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,11,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,12,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,12,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,12,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,13,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,13,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,13,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,14,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,14,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,14,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,15,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,15,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,15,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,16,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,16,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,16,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,17,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,17,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,17,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,18,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,18,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,18,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,19,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,19,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,19,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,20,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,20,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,20,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,21,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,21,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,21,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,22,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,22,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,22,高新区,3,高新万达路侧停车段,3,0,0,0
2026-06-17,23,城关区,1,市民中心地下停车场,6,0,0,0
2026-06-17,23,江南区,2,滨江路立体停车楼,4,0,0,0
2026-06-17,23,高新区,3,高新万达路侧停车段,3,0,0,0
